product_line,side,period,version,nii,nii_customer,nii_ftp,fee_income,opex,lending_volume,rwa,allocated_capital,loan_impairment,customer_rate,ftp_rate
Asset Management,other,2025-01-01,Actual,4.54,0.0,0.0,91.26,63.2,0.0,11000.0,1540.0,0.0,-0.002143,0.000783
Asset Management,other,2025-02-01,Actual,4.63,0.0,0.0,92.18,60.35,0.0,11000.0,1540.0,0.0,-0.000428,0.000961
Asset Management,other,2025-03-01,Actual,4.25,0.0,0.0,109.37,61.23,0.0,11000.0,1540.0,0.0,0.001021,-0.001804
Asset Management,other,2025-04-01,Actual,4.68,0.0,0.0,85.54,62.14,0.0,11000.0,1540.0,0.0,0.001033,0.002467
Asset Management,other,2025-05-01,Actual,4.31,0.0,0.0,102.58,59.81,0.0,11000.0,1540.0,0.0,0.001926,0.001519
Asset Management,other,2025-06-01,Actual,4.86,0.0,0.0,111.01,59.62,0.0,11000.0,1540.0,0.0,0.002967,0.001527
Asset Management,other,2025-07-01,Actual,4.5,0.0,0.0,89.47,60.18,0.0,11000.0,1540.0,0.0,0.000777,0.00178
Asset Management,other,2025-08-01,Actual,4.43,0.0,0.0,75.35,60.69,0.0,11000.0,1540.0,0.0,0.001005,0.001007
Asset Management,other,2025-09-01,Actual,4.68,0.0,0.0,97.03,59.03,0.0,11000.0,1540.0,0.0,0.001795,0.003787
Asset Management,other,2025-10-01,Actual,4.88,0.0,0.0,104.5,60.59,0.0,11000.0,1540.0,0.0,0.000998,0.002511
Asset Management,other,2025-11-01,Actual,4.52,0.0,0.0,105.54,62.26,0.0,11000.0,1540.0,0.0,0.001475,0.003829
Asset Management,other,2025-12-01,Actual,4.52,0.0,0.0,105.2,57.32,0.0,11000.0,1540.0,0.0,0.002804,0.003863
Asset Management,other,2026-01-01,Actual,4.55,0.0,0.0,95.41,62.09,0.0,11000.0,1540.0,0.0,0.004147,0.005591
Asset Management,other,2026-02-01,Actual,4.32,0.0,0.0,79.73,60.0,0.0,11000.0,1540.0,0.0,0.000984,0.004788
Asset Management,other,2026-03-01,Actual,4.99,0.0,0.0,101.19,60.94,0.0,11000.0,1540.0,0.0,0.004602,0.00697
Asset Management,other,2026-04-01,Actual,4.53,0.0,0.0,95.03,60.47,0.0,11000.0,1540.0,0.0,0.003068,0.004918
Investor Services,other,2025-01-01,Actual,3.27,0.0,0.0,56.73,38.61,0.0,8500.0,1190.0,0.0,0.001313,-0.000244
Investor Services,other,2025-02-01,Actual,3.2,0.0,0.0,65.38,38.6,0.0,8500.0,1190.0,0.0,0.000195,-0.001926
Investor Services,other,2025-03-01,Actual,3.9,0.0,0.0,72.12,39.58,0.0,8500.0,1190.0,0.0,-0.000161,0.002958
Investor Services,other,2025-04-01,Actual,3.42,0.0,0.0,53.17,40.66,0.0,8500.0,1190.0,0.0,0.003336,0.000229
Investor Services,other,2025-05-01,Actual,3.34,0.0,0.0,63.81,41.11,0.0,8500.0,1190.0,0.0,0.003002,0.001333
Investor Services,other,2025-06-01,Actual,3.33,0.0,0.0,70.83,39.03,0.0,8500.0,1190.0,0.0,0.00031,0.002
Investor Services,other,2025-07-01,Actual,3.57,0.0,0.0,53.94,39.78,0.0,8500.0,1190.0,0.0,0.000825,0.004392
Investor Services,other,2025-08-01,Actual,3.63,0.0,0.0,65.37,39.44,0.0,8500.0,1190.0,0.0,0.00032,0.002186
Investor Services,other,2025-09-01,Actual,3.27,0.0,0.0,61.74,38.77,0.0,8500.0,1190.0,0.0,0.001767,0.002753
Investor Services,other,2025-10-01,Actual,3.53,0.0,0.0,63.25,40.77,0.0,8500.0,1190.0,0.0,0.001975,0.000438
Investor Services,other,2025-11-01,Actual,3.29,0.0,0.0,50.51,40.9,0.0,8500.0,1190.0,0.0,0.000305,0.003521
Investor Services,other,2025-12-01,Actual,3.82,0.0,0.0,73.94,40.34,0.0,8500.0,1190.0,0.0,0.002359,0.004202
Investor Services,other,2026-01-01,Actual,3.59,0.0,0.0,61.05,41.0,0.0,8500.0,1190.0,0.0,0.002928,0.00599
